"","id","participant","trial","image","rating","difference","ratio","differenceZ","ratioZ","difference.howZ","ratio.howZ","ratingZ"
"1","1",1,"18","tower_image_(1)",58,2.98,0.331111111111111,0.991972665360173,1.03296723676054,0.372774016766634,0.132310221125668,0.344212656982486
"2","2",1,"29","tower_image_(2)",66,0.58,0.0644444444444444,-0.696890704371027,-1.1205154262671,0.742100981859071,0.734515746918674,0.700294715929885
"3","3",1,"27","tower_image_(4)",88,6.45,0.358333333333333,3.4337876207632,1.25280192527795,2.63600965885309,0.390054186165074,1.67952037803523
"4","4",1,"8","tower_image_(5)",26,0.96,0.32,-0.429487337496921,0.943238792467726,-0.894756127430612,0.281657191522333,-1.08011557880711
"5","5",1,"11","tower_image_(6)",59,0.33,0.0471428571428572,-0.872813972051361,-1.2602354323802,-0.300878367561973,-0.372854185653838,0.388722914350911
"6","6",1,"15","tower_image_(7)",53,0.97,0.323333333333333,-0.422450406789707,0.970157325755572,-0.817936118691385,0.65743343961717,0.121661370140361
"7","7",1,"7","tower_image_(8)",7,0.43,0.0614285714285714,-0.802444664979228,-1.14487028971801,-0.930211516079486,-1.69220046330549,-1.92581046880718
"8","8",1,"2","tower_image_(13)",38,0.73,0.146,-0.591336743762827,-0.461908645157809,-0.111782961434644,1.25000367699749,-0.545992490386012
"9","9",1,"25","tower_image_(14)",66,0.11,0.0183333333333334,-1.02762644761005,-1.49288847008229,-1.19021769950456,-2.10307669061797,0.700294715929885
"10","10",1,"28","tower_image_(15)",70,3.73,0.310833333333333,1.51974246840117,0.869212825926152,0.798238680553122,-0.141091087584358,0.878335745403585
"11","11",1,"5","tower_image_(16)",16,0.46,0.153333333333333,-0.781333872857587,-0.40268787192455,-0.90657459031357,0.223845461046205,-1.52521815249136
"12","12",1,"10","tower_image_(17)",0,0.24,0.0800000000000001,-0.936146348416281,-0.994895604257151,-1.4620423458126,-2.49330587133184,-2.23738227038616
"13","13",1,"20","tower_image_(18)",55,0.39,0.078,-0.830592387808081,-1.01104672422986,-0.427926843553771,0.322125402855623,0.210681884877211
"14","14",1,"13","tower_image_(19)",55,1.93,0.175454545454545,0.253094941102773,-0.224046696468848,0.482094798433995,-0.299087919169686,0.210681884877211
"15","15",1,"16","tower_image_(21)",71,2.39,0.29875,0.576793753634586,0.771633142757711,0.564824038614701,0.881453895212168,0.92284600277201
"16","16",1,"4","tower_image_(22)",59,0.85,0.10625,-0.506893575276267,-0.782912154615368,0.600279427263575,0.946492091997813,0.388722914350911
"17","17",1,"26","tower_image_(23)",42,0.7,0.14,-0.612447535884467,-0.510362005075932,-1.06021460779202,-1.53363114542811,-0.367951460912313
"18","18",1,"30","tower_image_(25)",65,0.7,0.14,-0.612447535884467,-0.510362005075932,-0.377698376301199,0.469545315569751,0.655784458561461
"19","19",1,"12","tower_image_(26)",80,3.21,0.2675,1.15382207162608,0.51927189318416,1.85008187713638,1.14521991550951,1.32343831908783
"20","20",1,"14","tower_image_(27)",23,1.95,0.195,0.267168802517199,-0.0662062058264811,0.27822631370297,-0.323920685215114,-1.21364635091239
"21","21",1,"23","tower_image_(28)",66,1.34,0.191428571428571,-0.162083970622814,-0.0950474914920298,-0.501792236572258,-0.794053936265632,0.700294715929885
"22","22",1,"21","tower_image_(29)",16,1.11,0.222,-0.323933376888721,0.151833913805068,-0.853391507340259,-0.926607975428756,-1.52521815249136
"23","23",1,"24","tower_image_(30)",67,0.56,0.0622222222222223,-0.710964565785454,-1.13846111512566,0.384592479649592,0.151580797951044,0.74480497329831
"24","24",1,"17","tower_image_(31)",75,3.19,0.245384615384615,1.13974821021165,0.340677778101338,1.88553726578526,0.863109788426474,1.10088703224571
"25","25",1,"9","tower_image_(32)",53,0.48,0.12,-0.767260011443161,-0.671873204803005,-0.78838996148399,-0.159157253358148,0.121661370140361
